Symbol,Year,Average Price,Closing Price
ABBV,2022,147.5243823290821,147.42999267578125
ABBV,2021,132.54584772624668,132.9272918701172
ABBV,2020,97.64849026744584,100.71131134033203
ABBV,2019,75.72733583488312,75.75471496582031
ABBV,2018,64.14508439630151,62.16996765136719
ABM,2022,43.83868572341493,39.369998931884766
ABM,2021,43.46516386667887,38.54836654663086
ABM,2020,42.725310640981,45.22952651977539
ABM,2019,33.06714184065739,34.897544860839844
ABM,2018,32.73212023275307,32.342437744140625
ABT,2022,104.3302542089941,95.79000091552734
ABT,2021,114.92541107298835,97.64751434326172
ABT,2020,112.05155248755953,113.20331573486328
ABT,2019,85.21338217381937,101.34700012207031
ABT,2018,71.91917902729901,76.76021575927734
ADM,2022,81.73586905430038,73.80999755859375
ADM,2021,75.7791318439302,81.30809783935547
ADM,2020,54.12565270838034,58.354732513427734
ADM,2019,37.94491938100868,43.72746658325195
ADM,2018,37.71347017022243,36.4785270690918
AWR,2022,88.41042981394733,76.38999938964844
AWR,2021,84.86863569229368,80.52115631103516
AWR,2020,76.96787647992016,82.61189270019531
AWR,2019,77.72612312590458,72.82088470458984
AWR,2018,67.53071769015247,84.8462905883789
BDX,2022,249.42433762265392,258.8999938964844
BDX,2021,244.3890092637804,227.43328857421875
BDX,2020,232.29483852918403,232.080322265625
BDX,2019,233.8671382584895,217.71270751953125
BDX,2018,222.73632417352076,233.791015625
BKH,2022,61.845622940367434,48.02000045776367
BKH,2021,67.65325747595892,66.82844543457031
BKH,2020,59.110948661409054,58.679237365722656
BKH,2019,59.336958987779354,49.68439865112305
BKH,2018,61.415124581629534,66.677734375
CBSH,2022,58.106701109988755,46.25
CBSH,2021,67.38662083943684,66.59793853759766
CBSH,2020,64.6309585571289,65.2737045288086
CBSH,2019,52.30324464775177,49.14167785644531
CBSH,2018,50.10464158381124,50.103424072265625
CDUAF,2022,25.654448421827826,20.75
CDUAF,2021,27.414454437437513,25.72870445251465
CDUAF,2020,23.65092284365954,24.587099075317383
CDUAF,2019,22.398716159075853,20.752965927124023
CDUAF,2018,21.28552053839087,24.143856048583984
CINF,2022,104.42465608148461,99.77999877929688
CINF,2021,112.70698008461603,90.68704223632812
CINF,2020,96.43189336769134,109.02491760253906
CINF,2019,79.62624451838641,72.12651062011719
CINF,2018,82.0660784747971,105.60774230957031
CL,2022,74.56218482393668,70.47000122070312
CL,2021,75.72505191015819,69.3187255859375
CL,2020,76.0361369767512,71.97346496582031
CL,2019,66.02169272434189,72.09880065917969
CL,2018,61.05684722657222,65.521484375
CWT,2022,55.94873420745728,46.43000030517578
CWT,2021,57.743631135849725,54.24311828613281
CWT,2020,53.78447741626268,56.764984130859375
CWT,2019,46.508195732694226,42.662559509277344
CWT,2018,46.197226885305454,49.1669807434082
DOV,2022,140.72730513492903,137.77999877929688
DOV,2021,145.68360035003178,118.3947525024414
DOV,2020,135.5029785338626,152.53297424316406
DOV,2019,98.08642296962054,105.49761199951172
DOV,2018,83.93646723530682,89.40985870361328
EMR,2022,88.32076147922956,94.8499984741211
EMR,2021,86.8126607622419,73.78783416748047
EMR,2020,83.9630646572645,90.870361328125
EMR,2019,59.90364649191321,61.16261291503906
EMR,2018,58.428306777163804,59.02965545654297
FMCB,2022,976.6567961552229,955.0
FMCB,2021,923.2069566514757,939.9070434570312
FMCB,2020,776.3736331529351,867.0477905273438
FMCB,2019,693.1024486040214,688.058837890625
FMCB,2018,695.3707068697864,726.1486206054688
FRT,2022,96.93705366522192,86.66999816894531
FRT,2021,107.99430925883944,87.17062377929688
FRT,2020,92.99508273364063,111.33089447021484
FRT,2019,86.71405979171692,69.28623962402344
FRT,2018,108.40757192178552,114.98771667480469
FUL,2022,69.27009763375696,68.2699966430664
FUL,2021,67.6324540849716,62.997161865234375
FUL,2020,58.40441292690566,63.810577392578125
FUL,2019,42.04632132176859,44.674163818359375
FUL,2018,43.69487548159413,44.316322326660156
GPC,2022,163.0306603177135,140.57000732421875
GPC,2021,131.78430384681337,149.40847778320312
GPC,2020,106.97946972486032,115.9726333618164
GPC,2019,82.65151684217719,88.68557739257812
GPC,2018,88.37311246955537,85.87345123291016
GRC,2022,27.08192388374967,31.6200008392334
GRC,2021,33.62901150234162,23.99275016784668
GRC,2020,32.380705183720686,35.077903747558594
GRC,2019,30.466063123300255,29.021270751953125
GRC,2018,29.81190128250426,31.291423797607422
GWW,2022,651.1264918353928,687.030029296875
GWW,2021,486.08339025103857,501.31329345703125
GWW,2020,401.5628590374829,388.6227722167969
GWW,2019,297.8303972221466,345.3432312011719
GWW,2018,268.25715156950326,274.6415100097656
HRL,2022,41.79068933920082,37.70000076293945
HRL,2021,46.176250321524485,45.040767669677734
HRL,2020,44.629373056480134,39.0233268737793
HRL,2019,43.339569228578846,45.83993911743164
HRL,2018,38.325567724220306,40.080387115478516
ITW,2022,228.1487204867055,230.41000366210938
ITW,2021,205.20038731892905,182.7386932373047
ITW,2020,204.22008900433423,197.37289428710938
ITW,2019,159.79276336426753,179.13963317871094
ITW,2018,128.41187362366938,137.87925720214844
JNJ,2022,162.65645340999285,155.33999633789062
JNJ,2021,163.33731854151165,158.63803100585938
JNJ,2020,151.08783521310266,151.9765625
JNJ,2019,130.30606225002333,135.04164123535156
JNJ,2018,120.31941721638836,120.16077423095703
KMB,2022,128.67511177822888,120.55000305175781
KMB,2021,124.798310143607,110.01937866210938
KMB,2020,123.82168764517127,123.0427017211914
KMB,2019,124.60809225865094,132.7324981689453
KMB,2018,106.65835550011866,123.81436157226562
KO,2022,59.70486006413798,54.880001068115234
KO,2021,57.75884389120435,54.964866638183594
KO,2020,49.18049743166008,49.931766510009766
KO,2019,45.13794589707576,45.06039810180664
KO,2018,42.95675987456424,48.15947341918945
LANC,2022,189.70071441528808,162.5800018310547
LANC,2021,147.68826560368615,152.1739044189453
LANC,2020,172.89458571962152,163.18746948242188
LANC,2019,144.57800666839478,167.07199096679688
LANC,2018,144.645388234659,126.82154083251953
LEG,2022,30.50653989571499,24.549999237060547
LEG,2021,35.81631039816236,32.06028366088867
LEG,2020,41.45664041830724,40.95171356201172
LEG,2019,34.25474786948398,37.0778694152832
LEG,2018,32.34273695470802,32.963741302490234
LOW,2022,207.35703292785888,200.16000366210938
LOW,2021,207.84734695676772,190.03135681152344
LOW,2020,174.92275994897363,196.32662963867188
LOW,2019,116.7380911382546,158.22621154785156
LOW,2018,94.13197974094831,100.16153717041016
MMM,2022,106.39019428876291,88.79000091552734
MMM,2021,141.80348641531808,107.19048309326172
MMM,2020,166.8040803096209,161.03541564941406
MMM,2019,137.97885338528698,141.5918426513672
MMM,2018,156.21768626178877,132.64324951171875
MO,2022,42.98075240541739,41.130001068115234
MO,2021,42.07153912196084,38.022159576416016
MO,2020,37.30455818784189,39.007110595703125
MO,2019,32.34566233357585,30.812997817993164
MO,2018,35.948556094530566,30.245447158813477
MSA,2022,144.6043177144936,155.0500030517578
MSA,2021,131.15210309104313,112.02902221679688
MSA,2020,151.8727377173435,144.36532592773438
MSA,2019,115.15043451681555,131.86221313476562
MSA,2018,97.56884063477536,102.8175277709961
MSEX,2022,79.93542398399566,64.29000091552734
MSEX,2021,94.66636851477244,80.25191497802734
MSEX,2020,79.97141758284246,98.9541015625
MSEX,2019,60.53392398119923,60.339073181152344
MSEX,2018,52.796195877500736,60.883663177490234
NDSN,2022,228.5196865735301,220.39999389648438
NDSN,2021,226.9832884167868,216.1304473876953
NDSN,2020,204.87000709320918,234.56997680664062
NDSN,2019,163.7245926875992,185.02777099609375
NDSN,2018,126.85923751891846,135.62094116210938
NFG,2022,55.67556615274741,50.84000015258789
NFG,2021,62.220660603235636,61.58378982543945
NFG,2020,43.93104092723345,50.78357696533203
NFG,2019,37.40259830125299,36.188785552978516
NFG,2018,46.15587210180275,39.00614929199219
NUE,2022,150.60230911680426,155.97000122070312
NUE,2021,120.24430465698242,112.77813720703125
NUE,2020,75.412691169526,94.69914245605469
NUE,2019,42.522044565573154,43.71330642700195
NUE,2018,50.21916335512442,45.77558517456055
NWN,2022,44.43796262703094,37.439998626708984
NWN,2021,46.90675381251744,42.524810791015625
NWN,2020,45.512659414830914,42.719966888427734
NWN,2019,54.57040432629832,40.3160400390625
NWN,2018,57.087859788263934,60.20357131958008
PEP,2022,177.7024596924801,167.6999969482422
PEP,2021,161.2296999371241,160.86000061035156
PEP,2020,135.43962464959498,143.037109375
PEP,2019,122.11293953823379,127.06283569335938
PEP,2018,107.94967265338062,125.46508026123047
PG,2022,145.22120259197584,145.49000549316406
PG,2021,143.91935742090618,125.23063659667969
PG,2020,128.93500986897138,132.84165954589844
PG,2019,113.19322083005868,128.30941772460938
PG,2018,92.88697000328763,112.32257843017578
PPG,2022,131.76689521819947,128.64999389648438
PPG,2021,134.71725221664187,112.02893829345703
PPG,2020,147.47295358361475,138.90640258789062
PPG,2019,106.27937484072498,117.19420623779297
PPG,2018,101.92815994931408,108.81470489501953
PH,2022,337.68749106357774,381.95001220703125
PH,2021,279.90197759961325,248.0933837890625
PH,2020,275.5080531754817,282.3169860839844
PH,2019,173.7256233853648,197.873779296875
PH,2018,155.31375827257378,163.74310302734375
SCL,2022,97.00291448950293,70.23999786376953
SCL,2021,106.68665655832442,95.04585266113281
SCL,2020,118.35026006204673,111.70720672607422
SCL,2019,95.11772751523205,104.21087646484375
SCL,2018,83.6260581149523,91.75933074951172
SJW,2022,72.04296441857083,57.66999816894531
SJW,2021,63.75259553818476,59.46128845214844
SJW,2020,62.37628319728897,63.30091857910156
SJW,2019,60.7046776425791,57.834136962890625
SJW,2018,56.47313763135933,63.53451919555664
SPGI,2022,358.4847356180746,356.4200134277344
SPGI,2021,388.77786121671164,311.70880126953125
SPGI,2020,364.56469179434606,420.65179443359375
SPGI,2019,289.623966232239,353.5738220214844
SPGI,2018,203.12055902367095,236.0972137451172
SWK,2022,82.76857787964353,78.41000366210938
SWK,2021,134.13343329656692,76.05440521240234
SWK,2020,177.27769652590808,164.08401489257812
SWK,2019,131.64751750444512,152.3551483154297
SWK,2018,120.53547124368735,127.87434387207031
TGT,2022,146.51055859569536,107.16000366210938
TGT,2021,194.84559885660806,147.6300811767578
TGT,2020,196.00817439470634,218.17581176757812
TGT,2019,112.39290403084927,149.7991485595703
TGT,2018,74.34003580708902,100.50658416748047
TNC,2022,70.53256044729773,74.41000366210938
TNC,2021,69.90747659168547,57.49764633178711
TNC,2020,72.04450724324383,73.55724334716797
TNC,2019,65.49065780639648,56.71363067626953
TNC,2018,58.98194748471933,65.53568267822266
TR,2022,38.820147563736754,30.860000610351562
TR,2021,32.43999961822752,32.49381637573242
TR,2020,29.244278387244478,28.21815299987793
TR,2019,30.0677921401552,27.86385154724121
TR,2018,31.463737054650053,32.3316764831543
SYY,2022,74.99342902438099,64.27999877929688
SYY,2021,78.41514290703668,70.23988342285156
SYY,2020,71.66208033162759,77.39384460449219
SYY,2019,59.55460872878116,59.088558197021484
SYY,2018,62.084375723424664,70.82643127441406
UVV,2022,50.10407728217987,46.79999923706055
UVV,2021,49.83843308403378,43.89870834350586
UVV,2020,44.82856732250685,43.52376937866211
UVV,2019,38.690623667135654,35.33530044555664
UVV,2018,44.98095605857819,42.8357048034668
WMT,2022,148.01531733174724,159.08999633789062
WMT,2021,135.1783304668608,130.5316619873047
WMT,2020,136.81284627116534,132.8605499267578
WMT,2019,116.54045834484329,134.12258911132812
WMT,2018,95.63741153549863,110.85286712646484
